number,title,artist,peak_pos,weeks,change,genre,tempo,speechiness,duration_ms
1,All Girls Are The Same,Juice WRLD,41,5,8,[u'rap'],161.989,0.307,165820
2,All Mine,Kanye West,11,2,-20,"[u'pop rap', u'rap']",122.099,0.338,145507
3,Back To You,Selena Gomez,22,5,9,"[u'dance pop', u'pop', u'post-teen pop']",102.061,0.0486,207905
4,Be Careful,Cardi B,11,11,2,"[u'pop', u'rap']",152.279,0.411,210787
5,Beautiful Crazy,Luke Combs,58,4,-16,"[u'contemporary country', u'country road']",103.313,0.0262,193200
6,Better Now,Post Malone,7,7,14,"[u'pop', u'rap']",145.028,0.0454,231267
7,Boo'd Up,Ella Mai,6,11,-1,"[u'dance pop', u'indie r&b', u'pop', u'r&b', u'urban contemporary']",81.965,0.0531,256064
8,Call Out My Name,The Weeknd,4,11,-2,"[u'canadian pop', u'pop', u'rap']",134.144,0.0369,228373
9,Chun-Li,Nicki Minaj,10,10,3,"[u'dance pop', u'hip pop', u'pop', u'pop rap', u'rap']",97.092,0.384,191606
10,Cudi Montage,KIDS SEE GHOSTS,69,1,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",110.011,0.0321,197001
11,Delicate,Taylor Swift,25,14,12,"[u'dance pop', u'pop', u'post-teen pop']",95.045,0.0682,232253
12,Dura,Daddy Yankee,43,19,1,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",94.981,0.0468,242160
13,Esskeetit,Lil Pump,24,9,-2,[u'trap music'],139.974,0.161,181714
14,Fake Love,BTS,10,4,-23,[u'k-pop'],77.501,0.0372,242334
15,Feel The Love,KIDS SEE GHOSTS,47,1,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",110.573,0.104,165053
16,Fire,KIDS SEE GHOSTS,67,1,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",104.999,0.16,140527
17,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,62,1,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",151.643,0.0632,206605
18,Get Along,Kenny Chesney,48,10,8,"[u'contemporary country', u'country', u'country road']",92.401,0.0473,199627
