Number,Title,ProjectData2018Number,weeks,artist,peak_pos,change,genre,tempo,duration_ms,,,number,title,artist
1,Overnight,145,1,Logic,68,New,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",149.987,217560,,,1,All Girls Are The Same,Juice WRLD
2,Over Now,82,3,Post Malone,24,-25,"[u'pop', u'rap']",163.898,246987,,,2,All Mine,Kanye West
3,No Smoke,127,18,YoungBoy Never Broke Again,61,-8,[u'trap music'],143.966,160000,,,3,Back To You,Selena Gomez
4,Money Bag,117,2,Cardi B,58,-29,"[u'pop', u'rap']",129.977,229005,,,4,Be Careful,Cardi B
5,All Girls Are The Same,1,5,Juice WRLD,41,8,[u'rap'],161.989,165820,,,5,Beautiful Crazy,Luke Combs
6,Marry Me,116,20,Thomas Rhett,30,-1,"[u'contemporary country', u'country', u'country road', u'modern country rock']",85.008,205453,,,6,Better Now,Post Malone
7,The Long Way,103,12,Brett Eldredge,65,-20,"[u'contemporary country', u'country', u'country road', u'modern country rock']",88.865,208720,,,7,Boo'd Up,Ella Mai
8,Paramedic!,148,4,SOB X RBE,65,-16,"[u'trap music', u'vapor trap']",97.017,219307,,,8,Call Out My Name,The Weeknd
9,Break Up In The End,150,1,Cole Swindell,98,New,"[u'contemporary country', u'country', u'country road', u'modern country rock']",86.36,199436,,,9,Chun-Li,Nicki Minaj
10,Preach,91,1,YoungBoy Never Broke Again,98,New,[u'trap music'],155.049,236071,,,10,Cudi Montage,KIDS SEE GHOSTS
11,Lost In Japan,136,1,Shawn Mendes,64,New,"[u'canadian pop', u'pop', u'viral pop']",105.038,201200,,,11,Delicate,Taylor Swift
12,Perfect,40,42,Ed Sheeran,1,4,[u'pop'],94.992,259550,,,12,Dura,Daddy Yankee
13,Nice For What,36,10,Drake,1,1,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",93.35,210926,,,13,Esskeetit,Lil Pump
14,Violent Crimes,48,2,Kanye West,27,-58,"[u'pop rap', u'rap']",110.111,215320,,,14,Fake Love,BTS
15,"Freeee (Ghost Town, Pt. 2)",17,1,KIDS SEE GHOSTS,62,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",151.643,206605,,,15,Feel The Love,KIDS SEE GHOSTS
